file	percent	reads	taxon_id	taxon_name
kaiju_nr_euk_greedy.out	0.009479	2941	1855714	Anaerobium
kaiju_nr_euk_greedy.out	0.009469	2938	61170	Holdemania
kaiju_nr_euk_greedy.out	0.009463	2936	570	Klebsiella
kaiju_nr_euk_greedy.out	0.009424	2924	2569097	Anaerobutyricum
kaiju_nr_euk_greedy.out	0.009366	2906	1763	Mycobacterium
kaiju_nr_euk_greedy.out	0.008870	2752	1924110	Massilimicrobiota
kaiju_nr_euk_greedy.out	0.008812	2734	239934	Akkermansia
kaiju_nr_euk_greedy.out	0.008754	2716	120831	Dyadobacter
kaiju_nr_euk_greedy.out	0.008721	2706	135858	Catenibacterium
kaiju_nr_euk_greedy.out	0.008709	2702	400634	Lysinibacillus
kaiju_nr_euk_greedy.out	0.008625	2676	1266	Sarcina
kaiju_nr_euk_greedy.out	0.008625	2676	1903506	Drancourtella
kaiju_nr_euk_greedy.out	0.008612	2672	165779	Anaerococcus
kaiju_nr_euk_greedy.out	0.008399	2606	83461	Corallococcus
kaiju_nr_euk_greedy.out	0.008367	2596	1918450	Cuneatibacter
kaiju_nr_euk_greedy.out	0.008351	2591	2005359	Faecalicatena
kaiju_nr_euk_greedy.out	0.008344	2589	32008	Burkholderia
kaiju_nr_euk_greedy.out	0.008290	2572	674963	Succinatimonas
kaiju_nr_euk_greedy.out	0.008196	2543	653683	Anaerosporobacter
kaiju_nr_euk_greedy.out	0.008170	2535	52784	Anaerofilum
kaiju_nr_euk_greedy.out	0.008161	2532	13687	Sphingomonas
kaiju_nr_euk_greedy.out	0.008093	2511	590	Salmonella
kaiju_nr_euk_greedy.out	0.008074	2505	2375	Sporomusa
kaiju_nr_euk_greedy.out	0.008035	2493	44748	Sporobacter
kaiju_nr_euk_greedy.out	0.008009	2485	57665	Sulfurospirillum
kaiju_nr_euk_greedy.out	0.007912	2455	1257	Peptostreptococcus
kaiju_nr_euk_greedy.out	0.007880	2445	467084	Candidatus Symbiothrix
kaiju_nr_euk_greedy.out	0.007838	2432	1918385	Acutalibacter
kaiju_nr_euk_greedy.out	0.007771	2411	420345	Lactonifactor
kaiju_nr_euk_greedy.out	0.007700	2389	84034	Propionispira
kaiju_nr_euk_greedy.out	0.007303	2266	329857	Cohnella
kaiju_nr_euk_greedy.out	0.007297	2264	1987010	Massilimaliae
kaiju_nr_euk_greedy.out	0.007277	2258	1929305	Pygmaiobacter
kaiju_nr_euk_greedy.out	0.007271	2256	1926556	Emergencia
kaiju_nr_euk_greedy.out	0.007203	2235	55080	Brevibacillus
kaiju_nr_euk_greedy.out	0.007155	2220	84406	Virgibacillus
kaiju_nr_euk_greedy.out	0.007097	2202	53246	Pseudoalteromonas
kaiju_nr_euk_greedy.out	0.007084	2198	31980	Acetitomaculum
kaiju_nr_euk_greedy.out	0.007084	2198	2060094	Aminipila
kaiju_nr_euk_greedy.out	0.006987	2168	43996	Catonella
kaiju_nr_euk_greedy.out	0.006975	2164	1562	Desulfotomaculum
kaiju_nr_euk_greedy.out	0.006968	2162	100175	Papillibacter
kaiju_nr_euk_greedy.out	0.006946	2155	1573808	Mangrovibacterium
kaiju_nr_euk_greedy.out	0.006897	2140	70994	Lewinella
kaiju_nr_euk_greedy.out	0.006888	2137	33951	Acetobacterium
kaiju_nr_euk_greedy.out	0.006884	2136	323449	Pontibacter
kaiju_nr_euk_greedy.out	0.006881	2135	2005387	Bacilliculturomica
kaiju_nr_euk_greedy.out	0.006865	2130	28196	Arcobacter
kaiju_nr_euk_greedy.out	0.006839	2122	1164882	Lachnoanaerobaculum
kaiju_nr_euk_greedy.out	0.006791	2107	1849718	Labilibacter
kaiju_nr_euk_greedy.out	0.006781	2104	1738645	Caproiciproducens
kaiju_nr_euk_greedy.out	0.006765	2099	84108	Slackia
kaiju_nr_euk_greedy.out	0.006746	2093	36853	Desulfitobacterium
kaiju_nr_euk_greedy.out	0.006646	2062	2508948	Candidatus Borkfalki
kaiju_nr_euk_greedy.out	0.006514	2021	1291539	Candidatus Methanomethylophilus
kaiju_nr_euk_greedy.out	0.006462	2005	107	Spirosoma
kaiju_nr_euk_greedy.out	0.006459	2004	1637	Listeria
kaiju_nr_euk_greedy.out	0.006407	1988	1607807	Candidatus Methanoplasma
kaiju_nr_euk_greedy.out	0.006291	1952	1506577	Tyzzerella
kaiju_nr_euk_greedy.out	0.006195	1922	59738	Marinilabilia
kaiju_nr_euk_greedy.out	0.006133	1903	264995	Anaerofustis
kaiju_nr_euk_greedy.out	0.006091	1890	978	Cytophaga
kaiju_nr_euk_greedy.out	0.006059	1880	68287	Mesorhizobium
kaiju_nr_euk_greedy.out	0.005985	1857	1471399	Draconibacterium
kaiju_nr_euk_greedy.out	0.005946	1845	44258	Caloramator
kaiju_nr_euk_greedy.out	0.005911	1834	1357	Lactococcus
kaiju_nr_euk_greedy.out	0.005863	1819	379	Rhizobium
kaiju_nr_euk_greedy.out	0.005737	1780	1654	Actinomyces
kaiju_nr_euk_greedy.out	0.005711	1772	32067	Leptotrichia
kaiju_nr_euk_greedy.out	0.005676	1761	13334	Anaerobiospirillum
kaiju_nr_euk_greedy.out	0.005676	1761	191373	Pelotomaculum
kaiju_nr_euk_greedy.out	0.005640	1750	33882	Microbacterium
kaiju_nr_euk_greedy.out	0.005631	1747	171	Leptospira
kaiju_nr_euk_greedy.out	0.005605	1739	482	Neisseria
kaiju_nr_euk_greedy.out	0.005566	1727	1637744	Aminicella
kaiju_nr_euk_greedy.out	0.005556	1724	314318	Prolixibacter
kaiju_nr_euk_greedy.out	0.005550	1722	1611681	Mucinivorans
kaiju_nr_euk_greedy.out	0.005518	1712	1780122	Mobilisporobacter
kaiju_nr_euk_greedy.out	0.005515	1711	1935927	Massilioclostridium
kaiju_nr_euk_greedy.out	0.005495	1705	1505652	Terrisporobacter
kaiju_nr_euk_greedy.out	0.005479	1700	1236988	Geofilum
kaiju_nr_euk_greedy.out	0.005460	1694	29330	Alicyclobacillus
kaiju_nr_euk_greedy.out	0.005431	1685	445	Legionella
kaiju_nr_euk_greedy.out	0.005411	1679	2023266	Merdimonas
kaiju_nr_euk_greedy.out	0.005382	1670	2745	Halomonas
kaiju_nr_euk_greedy.out	0.005369	1666	104267	Tenacibaculum
kaiju_nr_euk_greedy.out	0.005363	1664	1380	Atopobium
kaiju_nr_euk_greedy.out	0.005347	1659	258514	Acetanaerobacterium
kaiju_nr_euk_greedy.out	0.005311	1648	1254401	Sunxiuqinia
kaiju_nr_euk_greedy.out	0.005260	1632	177971	Shuttleworthia
kaiju_nr_euk_greedy.out	0.005224	1621	252356	Maribacter
kaiju_nr_euk_greedy.out	0.005147	1597	2737	Vagococcus
kaiju_nr_euk_greedy.out	0.005141	1595	1663	Arthrobacter
kaiju_nr_euk_greedy.out	0.005102	1583	374	Bradyrhizobium
